Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev.
leaving,1991,2012,2005,20,9.648834126463155
teenage,2007,2007,2007,3,0.0
youse,1996,1996,1996,9,0.0
child,1989,1999,1995,54,3.9205063920838557
letletlets,2014,2014,2014,18,0.0
precious,1980,1999,1989,41,9.185088658175085
dirty,1993,1994,1993,11,0.5222329678670935
bobby,2002,2003,2002,22,0.7687061147858074
question,2000,2000,2000,29,0.0
yours,1992,2012,2000,35,9.396047801374484
slang,1995,1995,1995,11,0.0
chill,2003,2014,2006,32,5.11737237261468
keepin,1995,2014,2003,43,6.687370950721826
youre,1982,2014,1998,331,9.434941806297351
seasons,1997,1998,1997,20,0.5477225575051661
pretend,1990,1990,1990,16,0.0
high,1991,2014,2003,226,8.07377487350029
very,1985,2009,1998,65,7.915904146813456
whatchu,2012,2012,2012,8,0.0
surface,2002,2003,2002,22,0.7687061147858074
nothin,1983,2014,1997,148,8.6329037424859
specially,2000,2000,2000,29,0.0
towards,2005,2005,2005,14,0.0
leaves,1985,1999,1995,59,4.539842452280191
kissed,2012,2012,2012,10,0.0
guys,1985,1985,1985,10,0.0
mill,2000,2000,2000,29,0.0
ringing,2007,2007,2007,3,0.0
mile,2000,2000,2000,29,0.0
mild,1995,1995,1995,11,0.0
arrived,1985,1985,1985,10,0.0
hooligan,2009,2009,2009,1,0.0
wiser,1987,1998,1996,25,2.1633307652783933
stash,1995,1995,1995,11,0.0
singing,2011,2012,2011,16,0.5590169943749475
stalling,2011,2012,2011,16,0.5590169943749475
again,1980,2014,1995,174,9.063949051809212
theyll,2009,2009,2009,1,0.0
packs,1987,1987,1987,11,0.0
not,1984,2014,1999,379,8.000329808505077
many,1983,2014,2000,146,12.445772787335168
solid,1993,1994,1993,11,0.5222329678670935
bubble,2012,2012,2012,8,0.0
jungle,1985,1985,1985,10,0.0
now,1984,2014,2000,524,8.524213379571044
start,1985,2011,2004,64,9.581068572972432
skatin,2002,2003,2002,17,0.9074852129730301
covers,1996,1996,1996,9,0.0
mans,1993,2003,1996,26,3.812933455813455
stars,2014,2014,2014,1,0.0
prize,1993,1994,1993,11,0.5222329678670935
myself,1991,2014,2004,87,7.428587217363542
slammer,2000,2000,2000,29,0.0
kisses,1994,1994,1994,4,0.0
mama,2011,2011,2011,21,0.0
range,2000,2000,2000,29,0.0
hittin,1995,1995,1995,11,0.0
watched,1996,2003,2000,26,3.2933499428627147
mink,2011,2011,2011,21,0.0
upset,1985,2014,2001,18,14.410644214144858
